0_0,12_1,12_2
0.0,19.4921443639589,-5.001094168865647
2.4,-4.941076963800905,1.7247980732840462
4.8,-1.5380610271614685,-20.834353148021446
7.199999999999999,-5.675623465874047,26.883249700859864
9.6,19.98489155189614,-11.921227022338359
12.0,-15.618464362563394,1.899031612125551
14.399999999999999,35.33774117059776,20.434577005896514
16.8,7.665517189258768,1.856542960713222
19.2,23.028469152685183,6.504573373651933
21.599999999999998,18.607555494271075,10.691908620877806
24.0,41.54529524453969,30.61744853455709
26.4,1.67831148602815,53.906496153779486
28.799999999999997,24.930993551837908,29.29847271598084
31.2,26.59134774397901,17.784894658637796
33.6,47.20523330802525,40.068699846969466
36.0,22.80130479223163,28.846083602322395
38.4,36.33086150939477,38.170434041746184
40.8,30.265698984943537,54.90001463400349
43.199999999999996,43.70656496058711,34.225548608473645
45.6,52.593782564589866,45.7083030116799
48.0,34.79256987344495,37.462705281115895
50.4,64.13668451807537,48.52278995538452
52.8,63.61908864711354,55.878845424015545
55.199999999999996,61.229932066822414,43.33465141476454
57.599999999999994,68.41027139117294,53.53413640764964
60.0,51.79526568990801,57.16579162976878
57.5,56.02531729377622,49.84813985018839
55.0,43.77076678889117,40.74865256337659
52.5,49.28534304448781,35.44539327235048
50.0,56.36426560085823,48.15805765187661
47.5,39.20007097929629,44.27131647740784
45.0,40.23895767772827,71.77640146663926
42.5,34.25392759856481,13.28278908174747
40.0,29.857532302015365,41.352718057799784
37.5,29.445046429958172,41.94533443995881
35.0,34.848024812973186,51.31560635207116
32.5,19.092275816376667,38.52228648137576
30.0,32.812988373805105,19.869435554041658
27.5,47.41762612531845,27.500117137659153
25.0,33.90452992692803,31.50823086578835
22.5,20.19797337166062,18.737901636079094
20.0,9.348452430981965,29.252140856832938
17.5,8.534100474989948,-4.91708785476516
15.0,35.30945521233296,35.774215991765615
12.5,13.109693057312347,30.112136126880955
10.0,2.3560522411677596,5.97187193771383
7.5,9.790985816009592,14.836089354884608
5.0,30.203061637746107,5.575647102418261
2.5,3.9419074297795498,-7.449623468177345
0.0,7.406437316489031,1.052522620899977
